"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1244,"2023-12-12","IDPs",6.2162758,31.6040403,17.752317529176,"Middle","rms"
1245,"2023-12-12","IDPs",6.2162111,31.6039924,17.752317529176,"Middle","rms"
1246,"2023-12-12","IDPs",6.2165017,31.6036975,17.752317529176,"Middle","rms"
1247,"2023-12-12","IDPs",6.21651,31.6035992,17.752317529176,"Middle","rms"
1257,"2023-12-12","IDPs",10.4326218,32.2483124,25.5329132262488,"Fourth","rms"
1258,"2023-12-12","IDPs",10.4318331,32.2493184,19.7614234510994,"Middle","rms"
1259,"2023-12-12","IDPs",10.4311722,32.2580944,3.07637050366453,"Poorest","rms"
1260,"2023-12-12","IDPs",10.4310982,32.2586855,9.71239621808478,"Second","rms"
1261,"2023-12-12","IDPs",10.4308723,32.2589946,6.53274882279216,"Poorest","rms"
1262,"2023-12-11","IDPs",10.5780401,32.1362986,6.53274882279216,"Poorest","rms"
1263,"2023-12-11","IDPs",10.5778617,32.1361491,3.07637050366453,"Poorest","rms"
1264,"2023-12-11","IDPs",10.5786181,32.1360324,3.07637050366453,"Poorest","rms"
1265,"2023-12-11","IDPs",10.5784733,32.1364004,3.07637050366453,"Poorest","rms"
1266,"2023-12-12","IDPs",10.4316476,32.2482962,7.54066460857592,"Second","rms"
