"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
455,"2023-08-05","host community member",9.9297453,30.2934679,19.3899831578055,"Middle","fds",1,"Poor"
456,"2023-06-27","refugee",9.9684576,33.5648474,9.94982092928151,"Second","fds",3,"Good"
457,"2023-07-26","refugee",9.9060539,30.3605614,12.1840532445201,"Second","fds",4,"Good"
458,"2023-04-28","host community member",9.9755897,33.8243491,19.0784952399175,"Middle","fds",1,"Poor"
459,"2023-05-02","refugee",9.9714868,30.2818656,18.7313494926496,"Middle","fds",3,"Good"
461,"2023-05-08","refugee",4.753825,28.7005029,23.6410945994984,"Fourth","fds",2,"Good"
462,"2023-08-26","refugee",5.0236203,27.4502331,21.6963047038713,"Middle","fds",1,"Poor"
463,"2023-06-30","host community member",9.9870268,33.8988399,24.003135400994,"Fourth","fds",2,"Good"
464,"2023-06-17","refugee",10.1065204,33.5892277,21.6721163136595,"Middle","fds",4,"Good"
465,"2023-06-05","refugee",10.1052646,30.0966908,0.772161084201544,"Poorest","fds",2,"Good"
466,"2023-04-19","host community member",9.9315775,30.2877298,0,"Poorest","fds",2,"Good"
467,"2023-07-24","host community member",9.9673619,33.727556,17.0945677780803,"Middle","fds",2,"Good"
468,"2023-05-24","host community member",10.0040113,29.9592436,0,"Poorest","fds",2,"Good"
469,"2023-05-27","refugee",9.9639272,30.2759358,11.0688252157275,"Second","fds",3,"Good"
470,"2023-05-31","host community member",10.0500402,29.923475,1.82465575936548,"Poorest","fds",1,"Poor"
471,"2023-07-13","refugee",9.9607402,33.5732566,23.496772073025,"Fourth","fds",3,"Good"
472,"2023-06-06","refugee",10.1167308,30.0655749,24.1718906605119,"Fourth","fds",3,"Good"
474,"2023-09-02","host community member",9.95602,33.7038647,7.27620681122622,"Poorest","fds",3,"Good"
475,"2023-07-18","host community member",9.9652917,33.7423023,7.27620681122622,"Poorest","fds",3,"Good"
476,"2023-05-29","refugee",10.0973673,33.5842577,12.3394068301416,"Second","fds",2,"Good"
477,"2023-08-15","host community member",9.9633845,33.7421578,17.0945677780803,"Middle","fds",2,"Good"
478,"2023-11-10","refugee",4.7598362,31.4439706,24.7703934599266,"Fourth","fds",2,"Good"
479,"2023-06-22","refugee",9.9583401,30.2779618,28.3460108195369,"Fourth","fds",2,"Good"
480,"2023-06-13","refugee",9.9785019,33.577011,39.8583729098614,"Richest","fds",2,"Good"
481,"2023-06-01","refugee",10.0963257,33.5898499,17.3813813261293,"Middle","fds",2,"Good"
482,"2023-10-09","refugee",5.38817,27.2556986,26.9257737744145,"Fourth","fds",1,"Poor"
483,"2023-05-23","refugee",9.9902306,33.7390749,11.774476688647,"Second","fds",2,"Good"
484,"2023-06-09","refugee",10.1098672,33.5933325,10.5147510707761,"Second","fds",3,"Good"
485,"2023-05-24","refugee",9.9839812,33.7451726,17.3813813261293,"Middle","fds",2,"Good"
486,"2023-08-09","refugee",9.909409,30.356431,3.00639339944013,"Poorest","fds",3,"Good"
487,"2023-08-18","host community member",9.912755,29.9883037,9.5251460544907,"Second","fds",1,"Poor"
488,"2023-08-03","host community member",9.9402621,30.2857107,22.5740105327294,"Fourth","fds",1,"Poor"
489,"2023-09-04","host community member",9.9976252,33.5439488,15.5586346932715,"Middle","fds",0,"Poor"
490,"2023-06-30","refugee",9.9109999,30.3743922,8.99902113851169,"Second","fds",2,"Good"
491,"2023-07-26","host community member",9.9239025,30.3460969,9.5251460544907,"Second","fds",1,"Poor"
492,"2023-10-07","refugee",5.3904466,27.255324,34.1159286061015,"Richest","fds",1,"Poor"
493,"2023-04-18","host community member",9.9345885,30.2892287,15.0193532633497,"Middle","fds",1,"Poor"
